Danish,English,PartOfSpeech,Example,Tags
have,to have,,,danish::history_culture_politics
historie,history,,,danish::history_culture_politics
historisk,historically,,,danish::history_culture_politics
hospital,hospital,,,danish::history_culture_politics
hovedsageligt,mainly,,,danish::history_culture_politics
hurtigt,quickly,,,danish::history_culture_politics
hvad,what,,,danish::history_culture_politics
hvem,who,,,danish::history_culture_politics
hvilken,which,,,danish::history_culture_politics
hvis,if,,,danish::history_culture_politics
hvor,where,,,danish::history_culture_politics
hvordan,how,,,danish::history_culture_politics
hvorfor,why,,,danish::history_culture_politics
hygge,coziness,,,danish::history_culture_politics
i dag,today,,,danish::history_culture_politics
i går,yesterday,,,danish::history_culture_politics
identitet,identity,,,danish::history_culture_politics
indføre,to introduce,,,danish::history_culture_politics
indirekte,indirectly,,,danish::history_culture_politics
industri,industry,,,danish::history_culture_politics
indvandring,immigration,,,danish::history_culture_politics
ingen,none,,,danish::history_culture_politics
integration,integration,,,danish::history_culture_politics
interesse,interest,,,danish::history_culture_politics
internationalt,internationally,,,danish::history_culture_politics
især,especially,,,danish::history_culture_politics
jul,Christmas,,,danish::history_culture_politics
kaffe,coffee,,,danish::history_culture_politics
klima,climate,,,danish::history_culture_politics
kommune,municipality,,,danish::history_culture_politics
konflikt,conflict,,,danish::history_culture_politics
kong,king,,,danish::history_culture_politics
krig,war,,,danish::history_culture_politics
kræve,to require,,,danish::history_culture_politics
kultur,culture,,,danish::history_culture_politics
kulturelt,culturally,,,danish::history_culture_politics
kun,only,,,danish::history_culture_politics
kunst,art,,,danish::history_culture_politics
kyst,coast,,,danish::history_culture_politics
land,country,,,danish::history_culture_politics
landbrug,agriculture,,,danish::history_culture_politics
landsby,village,,,danish::history_culture_politics
langsomt,slowly,,,danish::history_culture_politics
leve,to live,,,danish::history_culture_politics
lighed,equality,,,danish::history_culture_politics
litteratur,literature,,,danish::history_culture_politics
lov,law,,,danish::history_culture_politics
lære,to learn,,,danish::history_culture_politics
lærer,teacher,,,danish::history_culture_politics
læse,to read,,,danish::history_culture_politics
løsning,solution,,,danish::history_culture_politics
mad,food,,,danish::history_culture_politics
magt,power,,,danish::history_culture_politics
mark,field,,,danish::history_culture_politics
medier,media,,,danish::history_culture_politics
meget,very,,,danish::history_culture_politics
men,but,,,danish::history_culture_politics
mene,to think,,,danish::history_culture_politics
mening,opinion,,,danish::history_culture_politics
middelalder,Middle Ages,,,danish::history_culture_politics
miljø,environment,,,danish::history_culture_politics
mindretal,minority,,,danish::history_culture_politics
minister,minister,,,danish::history_culture_politics
modstand,resistance,,,danish::history_culture_politics
modsætte sig,to oppose,,,danish::history_culture_politics
monarki,monarchy,,,danish::history_culture_politics
morgen,tomorrow,,,danish::history_culture_politics
mulighed,opportunity,,,danish::history_culture_politics
muligvis,possibly,,,danish::history_culture_politics
museum,museum,,,danish::history_culture_politics
musik,music,,,danish::history_culture_politics
nabo,neighbor,,,danish::history_culture_politics
natur,nature,,,danish::history_culture_politics
nemlig,namely,,,danish::history_culture_politics
nogle,some,,,danish::history_culture_politics
nordisk,Nordic,,,danish::history_culture_politics
normalt,normally,,,danish::history_culture_politics
nu,now,,,danish::history_culture_politics
nyheder,news,,,danish::history_culture_politics
når,when,,,danish::history_culture_politics
næsten,almost,,,danish::history_culture_politics
ofte,often,,,danish::history_culture_politics
og,and,,,danish::history_culture_politics
også,also,,,danish::history_culture_politics
omfatte,to include,,,danish::history_culture_politics
opleve,to experience,,,danish::history_culture_politics
opnå,to achieve,,,danish::history_culture_politics
overleve,to survive,,,danish::history_culture_politics
parti,party,,,danish::history_culture_politics
pligt,duty,,,danish::history_culture_politics
politik,politics,,,danish::history_culture_politics
politiker,politician,,,danish::history_culture_politics
politisk,politically,,,danish::history_culture_politics
problem,problem,,,danish::history_culture_politics
påpege,to point out,,,danish::history_culture_politics
påvirke,to affect,,,danish::history_culture_politics
reducere,to reduce,,,danish::history_culture_politics
reform,reform,,,danish::history_culture_politics
regering,government,,,danish::history_culture_politics
region,region,,,danish::history_culture_politics
regn,rain,,,danish::history_culture_politics
rejse,to travel,,,danish::history_culture_politics
religion,religion,,,danish::history_culture_politics
repræsentere,to represent,,,danish::history_culture_politics
rettighed,right,,,danish::history_culture_politics
revolution,revolution,,,danish::history_culture_politics
samarbejde,cooperation,,,danish::history_culture_politics
samfund,society,,,danish::history_culture_politics
sammenligne,to compare,,,danish::history_culture_politics
samtidig,at the same time,,,danish::history_culture_politics
sandsynligvis,probably,,,danish::history_culture_politics
selvom,although,,,danish::history_culture_politics
senere,later,,,danish::history_culture_politics
sige,to say,,,danish::history_culture_politics
sikkerhed,security,,,danish::history_culture_politics
sikre,to ensure,,,danish::history_culture_politics
sjældent,rarely,,,danish::history_culture_politics
skabe,to create,,,danish::history_culture_politics
skat,tax,,,danish::history_culture_politics
skole,school,,,danish::history_culture_politics
skov,forest,,,danish::history_culture_politics
skrive,to write,,,danish::history_culture_politics
snart,soon,,,danish::history_culture_politics
socialt,socially,,,danish::history_culture_politics
sprog,language,,,danish::history_culture_politics
stadig,still,,,danish::history_culture_politics
stat,state,,,danish::history_culture_politics
statsminister,prime minister,,,danish::history_culture_politics
stemme,to vote,,,danish::history_culture_politics
strand,beach,,,danish::history_culture_politics
styrke,to strengthen,,,danish::history_culture_politics
støtte,to support,,,danish::history_culture_politics
sundhed,health,,,danish::history_culture_politics
svække,to weaken,,,danish::history_culture_politics
særligt,particularly,,,danish::history_culture_politics
søfart,shipping,,,danish::history_culture_politics
tale,to speak,,,danish::history_culture_politics
teater,theater,,,danish::history_culture_politics
tidligere,previously,,,danish::history_culture_politics
tillid,trust,,,danish::history_culture_politics
tradition,tradition,,,danish::history_culture_politics
tro,to believe,,,danish::history_culture_politics
uddannelse,education,,,danish::history_culture_politics
udtrykke,to express,,,danish::history_culture_politics
udvikle,to develop,,,danish::history_culture_politics
udvikle sig,to develop,,,danish::history_culture_politics
udvikling,development,,,danish::history_culture_politics
understrege,to emphasize,,,danish::history_culture_politics
undersøge,to investigate,,,danish::history_culture_politics
union,union,,,danish::history_culture_politics
universitet,university,,,danish::history_culture_politics
valg,election,,,danish::history_culture_politics
vedtage,to adopt,,,danish::history_culture_politics
vejr,weather,,,danish::history_culture_politics
velfærd,welfare,,,danish::history_culture_politics
viking,Viking,,,danish::history_culture_politics
vind,wind,,,danish::history_culture_politics
vælge,to choose,,,danish::history_culture_politics
værdi,value,,,danish::history_culture_politics
være,to be,,,danish::history_culture_politics
ændre,to change,,,danish::history_culture_politics
ændre sig,to change,,,danish::history_culture_politics
ø,island,,,danish::history_culture_politics
økonomi,economy,,,danish::history_culture_politics
økonomisk,economically,,,danish::history_culture_politics
